"Set","Model","RMSE","MAE","R2"
"Validation","Random Forest",0.639568123798339,0.457790697205289,0.523798482680745
"Validation","GBM",0.670147311178157,0.508505170680659,0.477173354352902
"Validation","Elastic Net",0.784157396463821,0.60386063054971,0.284147343810478
"Test","Random Forest",0.627150311725248,0.450669914303384,0.508723330421042
"Test","GBM",0.674059941649331,0.499329455941952,0.43248167124574
"Test","Elastic Net",0.783101823203019,0.604135647104642,0.234016657233345
